"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Volume)","q1(Volume)","med(Volume)","q3(Volume)","max(Volume)","avg(Volume)","std(Volume)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.024803,0.024803,0.024803,0.024803,0.024803,0.024803,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.091
1,0.024819,0.024819,0.024819,0.024819,0.024819,0.024819,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.092
1,0.024833,0.024833,0.024833,0.024833,0.024833,0.024833,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.093
1,0.024847,0.024847,0.024847,0.024847,0.024847,0.024847,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.094
1,0.024857,0.024857,0.024857,0.024857,0.024857,0.024857,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.095
1,0.024866,0.024866,0.024866,0.024866,0.024866,0.024866,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.096
1,0.024874,0.024874,0.024874,0.024874,0.024874,0.024874,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.097
1,0.02488,0.02488,0.02488,0.02488,0.02488,0.02488,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.098
1,0.024885,0.024885,0.024885,0.024885,0.024885,0.024885,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.099
1,0.024889,0.024889,0.024889,0.024889,0.024889,0.024889,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.1
1,0.024894,0.024894,0.024894,0.024894,0.024894,0.024894,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.101
1,0.024899,0.024899,0.024899,0.024899,0.024899,0.024899,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.102
1,0.024904,0.024904,0.024904,0.024904,0.024904,0.024904,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.103
1,0.024909,0.024909,0.024909,0.024909,0.024909,0.024909,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.104
1,0.024914,0.024914,0.024914,0.024914,0.024914,0.024914,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.105
1,0.024919,0.024919,0.024919,0.024919,0.024919,0.024919,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.106
1,0.024923,0.024923,0.024923,0.024923,0.024923,0.024923,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.107
1,0.024926,0.024926,0.024926,0.024926,0.024926,0.024926,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.108
1,0.02493,0.02493,0.02493,0.02493,0.02493,0.02493,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.109
1,0.024933,0.024933,0.024933,0.024933,0.024933,0.024933,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.11
1,0.024937,0.024937,0.024937,0.024937,0.024937,0.024937,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.111
1,0.02494,0.02494,0.02494,0.02494,0.02494,0.02494,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.112
1,0.024942,0.024942,0.024942,0.024942,0.024942,0.024942,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.113
1,0.024944,0.024944,0.024944,0.024944,0.024944,0.024944,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.114
1,0.024945,0.024945,0.024945,0.024945,0.024945,0.024945,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.115
