"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Area)","q1(Area)","med(Area)","q3(Area)","max(Area)","avg(Area)","std(Area)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.12126,0.12126,0.12126,0.12126,0.12126,0.12126,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0675
1,0.12128,0.12128,0.12128,0.12128,0.12128,0.12128,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.068
1,0.12129,0.12129,0.12129,0.12129,0.12129,0.12129,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0685
1,0.12129,0.12129,0.12129,0.12129,0.12129,0.12129,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.069
1,0.12129,0.12129,0.12129,0.12129,0.12129,0.12129,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0695
1,0.12129,0.12129,0.12129,0.12129,0.12129,0.12129,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.07
1,0.12128,0.12128,0.12128,0.12128,0.12128,0.12128,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0705
1,0.12127,0.12127,0.12127,0.12127,0.12127,0.12127,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.071
1,0.12125,0.12125,0.12125,0.12125,0.12125,0.12125,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0715
1,0.12123,0.12123,0.12123,0.12123,0.12123,0.12123,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.072
1,0.1212,0.1212,0.1212,0.1212,0.1212,0.1212,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0725
1,0.12116,0.12116,0.12116,0.12116,0.12116,0.12116,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.073
1,0.12113,0.12113,0.12113,0.12113,0.12113,0.12113,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0735
1,0.12109,0.12109,0.12109,0.12109,0.12109,0.12109,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.074
1,0.12105,0.12105,0.12105,0.12105,0.12105,0.12105,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0745
1,0.12101,0.12101,0.12101,0.12101,0.12101,0.12101,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.075
1,0.12098,0.12098,0.12098,0.12098,0.12098,0.12098,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0755
